"Type ","Effect _OLD_","Effect Text ","Power ","Wits Ability ","Category ","Only for People? ","Effect Syntax ","","","","","","","","","","","","","","","","","",""
"editor","","","","","","","","","","","","","","","","","","","","","","","","",""
"educator","","","","","","","","","","","","","","","","","","","","","","","","",""
"Egyptian","","","","","","","","","","","","","","","","","","","","","","","","",""
"Egyptologist","","","","","","","","","","","","","","","","","","","","","","","","",""
"electrical engineer","construct","filter the top 3 cards of your deck for an object","","","","","","","","","","","","","","","","","","","","","","",""
"emir","rule","your people get +1 [W] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"emperor","rule","your people get +1 [W] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"empress","lead","your people get +1 [P] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"endocrinologist","","","","","","","","","","","","","","","","","","","","","","","","",""
"engineer","construct","filter the top 3 cards of your deck for an object","","","","","","","","","","","","","","","","","","","","","","",""
"English person","","","","","","","","","","","","","","","","","","","","","","","","",""
"Englishman","","","","","","","","","","","","","","","","","","","","","","","","",""
"entomologist","","","","","","","","","","","","","","","","","","","","","","","","",""
"escapologist","","","","","","","","","","","","","","","","","","","","","","","","",""
"essayist","craft","you may sacrifice a resource to draw 2 cards","","","","","","","","","","","","","","","","","","","","","","",""
"ethnarch","","","","","","","","","","","","","","","","","","","","","","","","",""
"European","","","","","","","","","","","","","","","","","","","","","","","","",""
"evangelist","","","","","","","","","","","","","","","","","","","","","","","","",""
"executive","","","","","","","","","","","","","","","","","","","","","","","","",""
"existentialist","","","","","","","","","","","","","","","","","","","","","","","","",""
"explorer","explore","you may play an additional ressource","","","","","","","","","","","","","","","","","","","","","","",""
"fabulist","","","","","","","","","","","","","","","","","","","","","","","","",""
"fairy","","","","","","","","","","","","","","","","","","","","","","","","",""
"fascist","","","","","","","","","","","","","","","","","","","","","","","","",""
"female aristocrat","","","","","","","","","","","","","","","","","","","","","","","","",""
"feminist","rally","filter the top 3 cards of your deck for a person","","","","","","","","","","","","","","","","","","","","","","",""
"field marshal","","","","","","","","","","","","","","","","","","","","","","","","",""
"film director","","","","","","","","","","","","","","","","","","","","","","","","",""
"film maker","","","","","","","","","","","","","","","","","","","","","","","","",""
"financier","","","","","","","","","","","","","","","","","","","","","","","","",""
"folk singer","sing","put a person out of action until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"follower","","","","","","","","","","","","","","","","","","","","","","","","",""
"food manufacturer","generate","discard a card to get [R]","","","","","","","","","","","","","","","","","","","","","","",""
"forward","","","","","","","","","","","","","","","","","","","","","","","","",""
"four-minute man","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freemason","","","","","","","","","","","","","","","","","","","","","","","","",""
"French Canadian","","","","","","","","","","","","","","","","","","","","","","","","",""
"friend","","","","","","","","","","","","","","","","","","","","","","","","",""
"frontiersman","","","","","","","","","","","","","","","","","","","","","","","","",""
"frontierswoman","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fury","","","","","","","","","","","","","","","","","","","","","","","","",""
"gangster","shoot","end a person","","","","","","","","","","","","","","","","","","","","","","",""
"general","general","a person gets +1 [P] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"geneticist","","","","","","","","","","","","","","","","","","","","","","","","",""
"geographer","","","","","","","","","","","","","","","","","","","","","","","","",""
"geologist","","","","","","","","","","","","","","","","","","","","","","","","",""
"geometer","","","","","","","","","","","","","","","","","","","","","","","","",""
"geophysicist","","","","","","","","","","","","","","","","","","","","","","","","",""
"girl","","","","","","","","","","","","","","","","","","","","","","","","",""
"Girl Scout","","","","","","","","","","","","","","","","","","","","","","","","",""
"God","","","","","","","","","","","","","","","","","","","","","","","","",""
"Godhead","","","","","","","","","","","","","","","","","","","","","","","","",""
"goldsmith","","","","","","","","","","","","","","","","","","","","","","","","",""
"golfer","","","","","","","","","","","","","","","","","","","","","","","","",""
"government agent","","","","","","","","","","","","","","","","","","","","","","","","",""
"grammarian","","","","","","","","","","","","","","","","","","","","","","","","",""
"grand duke","","","","","","","","","","","","","","","","","","","","","","","","",""
"Grand Inquisitor","","","","","","","","","","","","","","","","","","","","","","","","",""
"grandmaster","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greek","","","","","","","","","","","","","","","","","","","","","","","","",""
"guard","","","","","","","","","","","","","","","","","","","","","","","","",""
"guitarist","","","","","","","","","","","","","","","","","","","","","","","","",""
"gymnast","","","","","","","","","","","","","","","","","","","","","","","","",""
"gynecologist","","","","","","","","","","","","","","","","","","","","","","","","",""
"harpsichordist","","","","","","","","","","","","","","","","","","","","","","","","",""
"hater","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hawaiian","","","","","","","","","","","","","","","","","","","","","","","","",""
"hero","","","","","","","","","","","","","","","","","","","","","","","","",""
"heroine","","","","","","","","","","","","","","","","","","","","","","","","",""
"highjacker","steal","gain control of an object","","","","","","","","","","","","","","","","","","","","","","",""
"histologist","","","","","","","","","","","","","","","","","","","","","","","","",""
"historian","","","","","","","","","","","","","","","","","","","","","","","","",""
"hockey player","","","","","","","","","","","","","","","","","","","","","","","","",""
"holy man","pray","a person gets +1 [W] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"Holy Roman Emperor","","","","","","","","","","","","","","","","","","","","","","","","",""
"horticulturist","","","","","","","","","","","","","","","","","","","","","","","","",""
"hotelier","","","","","","","","","","","","","","","","","","","","","","","","",""
"humorist","entertain","put a person out of action until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"hypocrite","","","","","","","","","","","","","","","","","","","","","","","","",""
"hypostasis","","","","","","","","","","","","","","","","","","","","","","","","",""
"idealist","","","","","","","","","","","","","","","","","","","","","","","","",""
"identical twin","","","","","","","","","","","","","","","","","","","","","","","","",""
"illustrator","","","","","","","","","","","","","","","","","","","","","","","","",""
"immunologist","","","","","","","","","","","","","","","","","","","","","","","","",""
"important person","","","","","","","","","","","","","","","","","","","","","","","","",""
"Inca","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indian","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indian chief","","","","","","","","","","","","","","","","","","","","","","","","",""
"industrialist","","","","","","","","","","","","","","","","","","","","","","","","",""
"inhabitant","","","","","","","","","","","","","","","","","","","","","","","","",""
"insurgent","rally","filter the top 3 cards of your deck for a person","","","","","","","","","","","","","","","","","","","","","","",""
"inventor","","","","","","","","","","","","","","","","","","","","","","","","",""
"investigator","investigate","draw 2 cards and discard one","","","","","","","","","","","","","","","","","","","","","","",""
"Irani","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italian","","","","","","","","","","","","","","","","","","","","","","","","",""
"jazz musician","sing","put a person out of action until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"Jew","","","","","","","","","","","","","","","","","","","","","","","","",""
"Jewess","","","","","","","","","","","","","","","","","","","","","","","","",""
"journalist","","","","","","","","","","","","","","","","","","","","","","","","",""
"judge","","","","","","","","","","","","","","","","","","","","","","","","",""
"Jupiter","","","","","","","","","","","","","","","","","","","","","","","","",""
"jurist","investigate","draw 2 cards and discard one","","","","","","","","","","","","","","","","","","","","","","",""
"Kaiser","rule","your people get +1 [W] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"king","lead","your people get +1 [P] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"King of England","rule","your people get +1 [W] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"King of France","rule","your people get +1 [W] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"King of the Germans","rule","your people get +1 [W] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"knight","fight","end a person with lesser power","","","","","","","","","","","","","","","","","","","","","","",""
"Korean","","","","","","","","","","","","","","","","","","","","","","","","",""
"labor leader","lead","your people get +1 [P] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"labor organizer","manage","look at the top card of your deck, you may put it under the deck","","","","","","","","","","","","","","","","","","","","","","",""
"Lady","","","","","","","","","","","","","","","","","","","","","","","","",""
"lama","convert","gain control of a person","","","","","","","","","","","","","","","","","","","","","","",""
"landscape architect","","","","","","","","","","","","","","","","","","","","","","","","",""
"lass","","","","","","","","","","","","","","","","","","","","","","","","",""
"lawmaker","judge","put a person out of action until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"lawyer","judge","put a person out of action until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"leader","","","","","","","","","","","","","","","","","","","","","","","","",""
"lecturer","teach","a person gets +1 [W] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"legislator","","","","","","","","","","","","","","","","","","","","","","","","",""
"lexicographer","","","","","","","","","","","","","","","","","","","","","","","","",""
"librarian","","","","","","","","","","","","","","","","","","","","","","","","",""
"librettist","","","","","","","","","","","","","","","","","","","","","","","","",""
"linguist","","","","","","","","","","","","","","","","","","","","","","","","",""
"literary critic","","","","","","","","","","","","","","","","","","","","","","","","",""
"lithographer","","","","","","","","","","","","","","","","","","","","","","","","",""
"logician","","","","","","","","","","","","","","","","","","","","","","","","",""
"Londoner","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lord","","","","","","","","","","","","","","","","","","","","","","","","",""
"lover","","","","","","","","","","","","","","","","","","","","","","","","",""
"lutist","","","","","","","","","","","","","","","","","","","","","","","","",""
"lyricist","","","","","","","","","","","","","","","","","","","","","","","","",""
"Macedonian","","","","","","","","","","","","","","","","","","","","","","","","",""
"magician","","","","","","","","","","","","","","","","","","","","","","","","",""
"maker","","","","","","","","","","","","","","","","","","","","","","","","",""
"male child","","","","","","","","","","","","","","","","","","","","","","","","",""
"man","","","","","","","","","","","","","","","","","","","","","","","","",""
"manufacturer","","","","","","","","","","","","","","","","","","","","","","","","",""
"marksman","","","","","","","","","","","","","","","","","","","","","","","","",""
"marquise","","","","","","","","","","","","","","","","","","","","","","","","",""
"marshal","","","","","","","","","","","","","","","","","","","","","","","","",""
"martyr","","","","","","","","","","","","","","","","","","","","","","","","",""
"master","","","","","","","","","","","","","","","","","","","","","","","","",""
"master of ceremonies","","","","","","","","","","","","","","","","","","","","","","","","",""
"mathematician","logic","look at the top two cards of your deck and put one under it","","","","","","","","","","","","","","","","","","","","","","",""
"meat packer","","","","","","","","","","","","","","","","","","","","","","","","",""
"medical officer","","","","","","","","","","","","","","","","","","","","","","","","",""
"medical practitioner","","","","","","","","","","","","","","","","","","","","","","","","",""
"merchant","trade","pay [R][R][R] to draw a card","","","","","","","","","","","","","","","","","","","","","","",""
"Mexican","","","","","","","","","","","","","","","","","","","","","","","","",""
"mezzo-soprano","","","","","","","","","","","","","","","","","","","","","","","","",""
"microbiologist","research","look at the top card of your deck, you may put it under the deck","","","","","","","","","","","","","","","","","","","","","","",""
"microscopist","","","","","","","","","","","","","","","","","","","","","","","","",""
"military leader","","","","","","","","","","","","","","","","","","","","","","","","",""
"militiaman","","","","","","","","","","","","","","","","","","","","","","","","",""
"mime","","","","","","","","","","","","","","","","","","","","","","","","",""
"minister","","","","","","","","","","","","","","","","","","","","","","","","",""
"missionary","","","","","","","","","","","","","","","","","","","","","","","","",""
"mistress","","","","","","","","","","","","","","","","","","","","","","","","",""
"modeler","craft","you may sacrifice a resource to draw 2 cards","","","","","","","","","","","","","","","","","","","","","","",""
"molecular biologist","research","look at the top card of your deck, you may put it under the deck","","","","","","","","","","","","","","","","","","","","","","",""
"monarchist","lead","your people get +1 [P] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"Mongol","","","","","","","","","","","","","","","","","","","","","","","","",""
"monk","pray","a person gets +1 [W] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"Mormon","","","","","","","","","","","","","","","","","","","","","","","","",""
"mother-in-law","","","","","","","","","","","","","","","","","","","","","","","","",""
"mountaineer","explore","you may play an additional ressource","","","","","","","","","","","","","","","","","","","","","","",""
"muralist","","","","","","","","","","","","","","","","","","","","","","","","",""
"murderer","shoot","end a person","","","","","","","","","","","","","","","","","","","","","","",""
"musician","","","","","","","","","","","","","","","","","","","","","","","","",""
"Muslim","","","","","","","","","","","","","","","","","","","","","","","","",""
"mystic","","","","","","","","","","","","","","","","","","","","","","","","",""
"mythologist","research","look at the top card of your deck, you may put it under the deck","","","","","","","","","","","","","","","","","","","","","","",""
"nationalist leader","","","","","","","","","","","","","","","","","","","","","","","","",""
"Native American","","","","","","","","","","","","","","","","","","","","","","","","",""
"naturalist","plant","draw a card, you may play an additional ressource","","","","","","","","","","","","","","","","","","","","","","",""
"naval commander","","","","","","","","","","","","","","","","","","","","","","","","",""
"naval officer","","","","","","","","","","","","","","","","","","","","","","","","",""
"navigator","explore","you may play an additional ressource","","","","","","","","","","","","","","","","","","","","","","",""
"Nazi","","","","","","","","","","","","","","","","","","","","","","","","",""
"necessitarian","","","","","","","","","","","","","","","","","","","","","","","","",""
"neurologist","","","","","","","","","","","","","","","","","","","","","","","","",""
"neuroscientist","","","","","","","","","","","","","","","","","","","","","","","","",""
"nobleman","","","","","","","","","","","","","","","","","","","","","","","","",""
"nomad","","","","","","","","","","","","","","","","","","","","","","","","",""
"Norn","","","","","","","","","","","","","","","","","","","","","","","","",""
"novelist","entertain","put a person out of action until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"nuclear physicist","","","","","","","","","","","","","","","","","","","","","","","","",""
"nun","pray","a person gets +1 [W] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"nurse","heal","a person cannot be ended until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"nymph","","","","","","","","","","","","","","","","","","","","","","","","",""
"occultist","curse","#N/A","","","","","","","","","","","","","","","","","","","","","","",""
"oceanographer","","","","","","","","","","","","","","","","","","","","","","","","",""
"official","","","","","","","","","","","","","","","","","","","","","","","","",""
"old master","fight","end a person with lesser power","","","","","","","","","","","","","","","","","","","","","","",""
"ophthalmologist","","","","","","","","","","","","","","","","","","","","","","","","",""
"orator","","","","","","","","","","","","","","","","","","","","","","","","",""
"organist","sing","put a person out of action until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"ornithologist","","","","","","","","","","","","","","","","","","","","","","","","",""
"otologist","","","","","","","","","","","","","","","","","","","","","","","","",""
"outlaw","","","","","","","","","","","","","","","","","","","","","","","","",""
"pagan","","","","","","","","","","","","","","","","","","","","","","","","",""
"painter","craft","you may sacrifice a resource to draw 2 cards","","","","","","","","","","","","","","","","","","","","","","",""
"Pakistani","","","","","","","","","","","","","","","","","","","","","","","","",""
"paleontologist","","","","","","","","","","","","","","","","","","","","","","","","",""
"parapsychologist","","","","","","","","","","","","","","","","","","","","","","","","",""
"parliamentarian","","","","","","","","","","","","","","","","","","","","","","","","",""
"pathologist","","","","","","","","","","","","","","","","","","","","","","","","",""
"patriarch","","","","","","","","","","","","","","","","","","","","","","","","",""
"Patriarch","","","","","","","","","","","","","","","","","","","","","","","","",""
"patriot","","","","","","","","","","","","","","","","","","","","","","","","",""
"patron saint","","","","","","","","","","","","","","","","","","","","","","","","",""
"pediatrician","","","","","","","","","","","","","","","","","","","","","","","","",""
"peer","","","","","","","","","","","","","","","","","","","","","","","","",""
"performer","","","","","","","","","","","","","","","","","","","","","","","","",""
"persuader","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pharaoh","","","","","","","","","","","","","","","","","","","","","","","","",""
"pharmacologist","","","","","","","","","","","","","","","","","","","","","","","","",""
"philanthropist","","","","","","","","","","","","","","","","","","","","","","","","",""
"philologist","","","","","","","","","","","","","","","","","","","","","","","","",""
"phonetician","","","","","","","","","","","","","","","","","","","","","","","","",""
"photographer","","","","","","","","","","","","","","","","","","","","","","","","",""
"Phrygian","","","","","","","","","","","","","","","","","","","","","","","","",""
"physician","","","","","","","","","","","","","","","","","","","","","","","","",""
"physiologist","","","","","","","","","","","","","","","","","","","","","","","","",""
"pianist","attract","put a person with [W] ≤ 2 out of action for a turn","","","","","","","","","","","","","","","","","","","","","","",""
"piano maker","craft","you may sacrifice a resource to draw 2 cards","","","","","","","","","","","","","","","","","","","","","","",""
"pioneer","","","","","","","","","","","","","","","","","","","","","","","","",""
"pirate","","","","","","","","","","","","","","","","","","","","","","","","",""
"Plains Indian","","","","","","","","","","","","","","","","","","","","","","","","",""
"playwright","","","","","","","","","","","","","","","","","","","","","","","","",""
"poetess","entertain","put a person out of action until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"pope","convert","gain control of a person","","","","","","","","","","","","","","","","","","","","","","",""
"potter","craft","you may sacrifice a resource to draw 2 cards","","","","","","","","","","","","","","","","","","","","","","",""
"power","","","","","","","","","","","","","","","","","","","","","","","","",""
"Powhatan","","","","","","","","","","","","","","","","","","","","","","","","",""
"practitioner","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pre-Raphaelite","","","","","","","","","","","","","","","","","","","","","","","","",""
"preacher","pray","a person gets +1 [W] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"prelate","","","","","","","","","","","","","","","","","","","","","","","","",""
"president","","","","","","","","","","","","","","","","","","","","","","","","",""
"President of the United States","","","","","","","","","","","","","","","","","","","","","","","","",""
"presiding officer","","","","","","","","","","","","","","","","","","","","","","","","",""
"priest","convert","gain control of a person","","","","","","","","","","","","","","","","","","","","","","",""
"primitive","","","","","","","","","","","","","","","","","","","","","","","","",""
"prince","rule","your people get +1 [W] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"prince consort","","","","","","","","","","","","","","","","","","","","","","","","",""
"Prince of Wales","","","","","","","","","","","","","","","","","","","","","","","","",""
"princess","","","","","","","","","","","","","","","","","","","","","","","","",""
"printer","","","","","","","","","","","","","","","","","","","","","","","","",""
"privateer","","","","","","","","","","","","","","","","","","","","","","","","",""
"prizefighter","","","","","","","","","","","","","","","","","","","","","","","","",""
"procurator","","","","","","","","","","","","","","","","","","","","","","","","",""
"professor","","","","","","","","","","","","","","","","","","","","","","","","",""
"prophet","foresee","look at the enemy deck's top card, you may put it under the deck","","","","","","","","","","","","","","","","","","","","","","",""
"Prussian","","","","","","","","","","","","","","","","","","","","","","","","",""
"psychiatrist","analyze","look at the enemy deck's top card","","","","","","","","","","","","","","","","","","","","","","",""
"psychoanalyst","analyze","look at the enemy deck's top card","","","","","","","","","","","","","","","","","","","","","","",""
"psychologist","analyze","look at the enemy deck's top card","","","","","","","","","","","","","","","","","","","","","","",""
"psychophysicist","think","draw a card","","","","","","","","","","","","","","","","","","","","","","",""
"psychotherapist","analyze","look at the enemy deck's top card","","","","","","","","","","","","","","","","","","","","","","",""
"publisher","","","","","","","","","","","","","","","","","","","","","","","","",""
"puppeteer","entertain","put a person out of action until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"Quaker","","","","","","","","","","","","","","","","","","","","","","","","",""
"queen","rule","your people get +1 [W] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"Queen of England","","","","","","","","","","","","","","","","","","","","","","","","",""
"rabbi","pray","a person gets +1 [W] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"racer","","","","","","","","","","","","","","","","","","","","","","","","",""
"raconteur","","","","","","","","","","","","","","","","","","","","","","","","",""
"radical","","","","","","","","","","","","","","","","","","","","","","","","",""
"radiobiologist","research","look at the top card of your deck, you may put it under the deck","","","","","","","","","","","","","","","","","","","","","","",""
"Rameses","","","","","","","","","","","","","","","","","","","","","","","","",""
"reactionary","","","","","","","","","","","","","","","","","","","","","","","","",""
"recruit","fight","end a person with lesser power","","","","","","","","","","","","","","","","","","","","","","",""
"reformer","","","","","","","","","","","","","","","","","","","","","","","","",""
"religious","","","","","","","","","","","","","","","","","","","","","","","","",""
"religious leader","","","","","","","","","","","","","","","","","","","","","","","","",""
"religious person","","","","","","","","","","","","","","","","","","","","","","","","",""
"resident","","","","","","","","","","","","","","","","","","","","","","","","",""
"revolutionary","rally","filter the top 3 cards of your deck for a person","","","","","","","","","","","","","","","","","","","","","","",""
"revolutionist","destroy","destroy an object","","","","","","","","","","","","","","","","","","","","","","",""
"Rhea","","","","","","","","","","","","","","","","","","","","","","","","",""
"rhetorician","","","","","","","","","","","","","","","","","","","","","","","","",""
"rich person","","","","","","","","","","","","","","","","","","","","","","","","",""
"right-winger","","","","","","","","","","","","","","","","","","","","","","","","",""
"rock star","","","","","","","","","","","","","","","","","","","","","","","","",""
"rocket engineer","","","","","","","","","","","","","","","","","","","","","","","","",""
"Roman","","","","","","","","","","","","","","","","","","","","","","","","",""
"ruler","rule","your people get +1 [W] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"Russian","","","","","","","","","","","","","","","","","","","","","","","","",""
"sailor","navigate","look at the top card of your deck, you may put it under the deck","","","","","","","","","","","","","","","","","","","","","","",""
"saint","","","","","","","","","","","","","","","","","","","","","","","","",""
"satirist","","","","","","","","","","","","","","","","","","","","","","","","",""
"satyr","","","","","","","","","","","","","","","","","","","","","","","","",""
"savage","fight","end a person with lesser power","","","","","","","","","","","","","","","","","","","","","","",""
"Saxon","","","","","","","","","","","","","","","","","","","","","","","","",""
"saxophonist","","","","","","","","","","","","","","","","","","","","","","","","",""
"Scandinavian","","","","","","","","","","","","","","","","","","","","","","","","",""
"scholar","teach","a person gets +1 [W] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"schoolteacher","teach","a person gets +1 [W] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"scientist","research","look at the top card of your deck, you may put it under the deck","","","","","","","","","","","","","","","","","","","","","","",""
"Scot","","","","","","","","","","","","","","","","","","","","","","","","",""
"screenwriter","","","","","","","","","","","","","","","","","","","","","","","","",""
"sculptor","craft","you may sacrifice a resource to draw 2 cards","","","","","","","","","","","","","","","","","","","","","","",""
"sea nymph","","","","","","","","","","","","","","","","","","","","","","","","",""
"seamstress","","","","","","","","","","","","","","","","","","","","","","","","",""
"secret agent","","","","","","","","","","","","","","","","","","","","","","","","",""
"secretary","","","","","","","","","","","","","","","","","","","","","","","","",""
"semanticist","","","","","","","","","","","","","","","","","","","","","","","","",""
"Semite","","","","","","","","","","","","","","","","","","","","","","","","",""
"senator","","","","","","","","","","","","","","","","","","","","","","","","",""
"settler","","","","","","","","","","","","","","","","","","","","","","","","",""
"Shah","","","","","","","","","","","","","","","","","","","","","","","","",""
"Shawnee","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sherpa","","","","","","","","","","","","","","","","","","","","","","","","",""
"Shoshone","","","","","","","","","","","","","","","","","","","","","","","","",""
"showman","","","","","","","","","","","","","","","","","","","","","","","","",""
"silversmith","","","","","","","","","","","","","","","","","","","","","","","","",""
"singer","sing","put a person out of action until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"sinner","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sioux","","","","","","","","","","","","","","","","","","","","","","","","",""
"Siren","","","","","","","","","","","","","","","","","","","","","","","","",""
"sitar player","attract","put a person with [W] ≤ 2 out of action for a turn","","","","","","","","","","","","","","","","","","","","","","",""
"Siva","","","","","","","","","","","","","","","","","","","","","","","","",""
"slave","","","","","","","","","","","","","","","","","","","","","","","","",""
"sleeper","","","","","","","","","","","","","","","","","","","","","","","","",""
"small person","","","","","","","","","","","","","","","","","","","","","","","","",""
"socialist","","","","","","","","","","","","","","","","","","","","","","","","",""
"sociologist","","","","","","","","","","","","","","","","","","","","","","","","",""
"soldier","fight","end a person with lesser power","","","","","","","","","","","","","","","","","","","","","","",""
"son","","","","","","","","","","","","","","","","","","","","","","","","",""
"Son","","","","","","","","","","","","","","","","","","","","","","","","",""
"songwriter","craft","you may sacrifice a resource to draw 2 cards","","","","","","","","","","","","","","","","","","","","","","",""
"soprano","sing","put a person out of action until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"South African","","","","","","","","","","","","","","","","","","","","","","","","",""
"sovereign","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spaniard","","","","","","","","","","","","","","","","","","","","","","","","",""
"specialist","","","","","","","","","","","","","","","","","","","","","","","","",""
"spiritual leader","","","","","","","","","","","","","","","","","","","","","","","","",""
"sporting man","","","","","","","","","","","","","","","","","","","","","","","","",""
"sprinter","","","","","","","","","","","","","","","","","","","","","","","","",""
"spy","investigate","draw 2 cards and discard one","","","","","","","","","","","","","","","","","","","","","","",""
"starets","","","","","","","","","","","","","","","","","","","","","","","","",""
"statesman","inspire","your people get +1 [W] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"stateswoman","inspire","your people get +1 [W] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"stripper","","","","","","","","","","","","","","","","","","","","","","","","",""
"student","learn","draw a card and discard one","","","","","","","","","","","","","","","","","","","","","","",""
"sultan","","","","","","","","","","","","","","","","","","","","","","","","",""
"supernatural being","","","","","","","","","","","","","","","","","","","","","","","","",""
"supporter","","","","","","","","","","","","","","","","","","","","","","","","",""
"surgeon","","","","","","","","","","","","","","","","","","","","","","","","",""
"swimmer","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swiss","","","","","","","","","","","","","","","","","","","","","","","","",""
"sympathizer","","","","","","","","","","","","","","","","","","","","","","","","",""
"teacher","teach","a person gets +1 [W] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"tennis player","train","a person gets +1 [P] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"tenor","sing","put a person out of action until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"terrorist","murder","end a person","","","","","","","","","","","","","","","","","","","","","","",""
"Teuton","","","","","","","","","","","","","","","","","","","","","","","","",""
"theatrical producer","","","","","","","","","","","","","","","","","","","","","","","","",""
"theologian","learn","draw a card and discard one","","","","","","","","","","","","","","","","","","","","","","",""
"Titaness","","","","","","","","","","","","","","","","","","","","","","","","",""
"toxicologist","poison","end a person","","","","","","","","","","","","","","","","","","","","","","",""
"traditionalist","","","","","","","","","","","","","","","","","","","","","","","","",""
"translator","mediate","reduce a person's [P] to 0 until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"traveler","explore","you may play an additional ressource","","","","","","","","","","","","","","","","","","","","","","",""
"trumpeter","","","","","","","","","","","","","","","","","","","","","","","","",""
"Turki","","","","","","","","","","","","","","","","","","","","","","","","",""
"tyrant","judge","put a person out of action until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"unfortunate person","","","","","","","","","","","","","","","","","","","","","","","","",""
"vaudevillian","act","put a person out of action until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"vice president","","","","","","","","","","","","","","","","","","","","","","","","",""
"president","lead","your people get +1 [P] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"viceroy","lead","your people get +1 [P] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"violin maker","construct","filter the top 3 cards of your deck for an object","","","","","","","","","","","","","","","","","","","","","","",""
"violinist","sing","put a person out of action until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"virologist","","","","","","","","","","","","","","","","","","","","","","","","",""
"viscountess","","","","","","","","","","","","","","","","","","","","","","","","",""
"warrior","fight","end a person with lesser power","","","","","","","","","","","","","","","","","","","","","","",""
"White","","","","","","","","","","","","","","","","","","","","","","","","",""
"wife","","","","","","","","","","","","","","","","","","","","","","","","",""
"woman","","","","","","","","","","","","","","","","","","","","","","","","",""
"womanizer","attract","put a person with [W] ≤ 2 out of action for a turn","","","","","","","","","","","","","","","","","","","","","","",""
"workman","","","","","","","","","","","","","","","","","","","","","","","","",""
"writer","think","draw a card","","","","","","","","","","","","","","","","","","","","","","",""
"zoologist","research","look at the top card of your deck, you may put it under the deck","","","","","","","","","","","","","","","","","","","","","","",""
"hermit","think","draw a card","","","","","","","","","","","","","","","","","","","","","","",""
"sumo","fight","end a person with lesser power","","","","","","","","","","","","","","","","","","","","","","",""
"wrestler","fight","end a person with lesser power","","","","","","","","","","","","","","","","","","","","","","",""
"saint","convert","gain control of a person","","","","","","","","","","","","","","","","","","","","","","",""
